TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2017-07-25 13:53:12.300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:12.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:13.021,0.6827549346356175,0.9987717015912554,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.624092360656391,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.2568380456349348,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.1647263771621373,0.01844221393765736,0.2383478309395397,1036.739926739927,791.3553113553114,770.4029304029305,904.981684981685,818.3516483516484,-0.115295,0.177979,1.035522,21.548157,24.449158,12.045135,1,1,1,1,1,82.703125
2017-07-25 13:53:13.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:13.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:14.044,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,1079.85347985348,831.2454212454213,767.5824175824176,945.2747252747253,830.0366300366301,-0.130249,0.154602,0.957153,-10.774078,9.181519,24.307098,1,1,1,1,1,82.703125
2017-07-25 13:53:14.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:14.830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2017-07-25 13:53:15.053,0.6827549346356175,1.111459251948678,0.05265938429550509,0.3942261609607332,0.4327581686043177,0.7696149432918401,-0.2707252559630762,0.2150732099542447,1.115474419088292,0.4788537547142573,-0.09798541310890299,0.4783879292664892,0.9521711083213158,0.3036473983494793,0.1478773732997811,0.3608696747390597,0.9277766115389227,0.2574846007854924,0.01844221393765736,0.2383478309395397,891.2820512820513,790.1465201465202,792.967032967033,806.6666666666667,824.3956043956044,0.463440,0.120911,0.937622,-9.585266,-15.462036,5.779572,1,2,1,4,2,82.625000
2017-07-25 13:53:15.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
